COUNTY,YEARS,AREA,YIELD,EVI,GPP,NDVI
Trans Nzoia,2013,105310,4.04,0.433,0.507,0.702
Trans Nzoia,2014,106778,4.23,0.465,0.500,0.710
Trans Nzoia,2015,106800,3.87,0.451,0.545,0.718
Trans Nzoia,2016,106303,3.82,0.427,0.547,0.687
Trans Nzoia,2017,106557,3.69,0.441,0.561,0.725
Trans Nzoia,2018,107681,5.09,0.450,0.548,0.713
Uasin Gishu,2012,91310,2.82,0.409,0.419,0.664
Uasin Gishu,2013,88790,4.09,0.415,0.466,0.679
Uasin Gishu,2014,96654,3.93,0.414,0.425,0.675
Uasin Gishu,2015,104078,3.89,0.430,0.478,0.681
Uasin Gishu,2016,102753,3.95,0.396,0.498,0.652
Uasin Gishu,2017,101279,3.12,0.410,0.499,0.684
Uasin Gishu,2018,95209,4.26,0.411,0.486,0.679
Vihiga,2012,18010,1.55,0.414,0.437,0.679
Vihiga,2013,24195,1.5,0.404,0.436,0.679
Vihiga,2014,23772,1.54,0.421,0.452,0.680
Vihiga,2015,35105,1.25,0.420,0.447,0.689
Vihiga,2016,35783,1.41,0.414,0.436,0.672
Vihiga,2017,29190,1.49,0.414,0.473,0.698
Vihiga,2018,25090,1.4,0.448,0.473,0.710
West Pokot,2012,33035,3.35,0.449,0.360,0.693
West Pokot,2013,19380,2.82,0.474,0.449,0.719
West Pokot,2014,19748,2.35,0.460,0.397,0.703
West Pokot,2015,33124,1.82,0.483,0.447,0.726
West Pokot,2016,29143,2.37,0.459,0.460,0.715
West Pokot,2017,34450,1.5,0.459,0.448,0.714
West Pokot,2018,32172,1.92,0.479,0.425,0.721
