COUNTY,YEARS,Zones,AREA,YIELD,Rainfall,Temperature,Air Pressure,Wind Speed,Evapotranspiration,NDVI,EVI,GPP
Kisii,2012,Upper Midlands,59635,1.640,531.300,19.830,17.710,6.130,40.470,0.695,0.438,0.505
Kisii,2013,Upper Midlands,63710,2.060,302.500,20.230,10.080,5.800,42.272,0.692,0.415,0.505
Kisii,2014,Upper Midlands,62210,1.920,252.400,21.270,8.410,6.330,40.880,0.703,0.429,0.522
Kisii,2015,Upper Midlands,76160,1.320,319.200,20.370,10.640,6.070,37.903,0.698,0.423,0.502
Kisii,2016,Upper Midlands,73253,1.310,439.100,20.900,14.640,6.700,38.869,0.691,0.425,0.499
Kisii,2017,Upper Midlands,75038,2.240,219.200,22.100,7.310,7.630,41.637,0.705,0.410,0.522
Kisii,2018,Upper Midlands,74162,2.080,420.200,20.330,14.010,4.730,38.111,0.734,0.457,0.564
Migori,2012,Low Midlands,78580,1.240,531.300,19.830,17.710,6.130,37.376,0.596,0.368,0.401
Migori,2013,Low Midlands,54974,0.770,302.500,20.230,10.080,5.800,35.494,0.563,0.336,0.370
Migori,2014,Low Midlands,67485,1.240,252.400,21.270,8.410,6.330,36.884,0.599,0.360,0.416
Migori,2015,Low Midlands,65583,2.280,319.200,20.370,10.640,6.070,33.861,0.618,0.370,0.416
Migori,2016,Low Midlands,37989,0.930,439.100,20.900,14.640,6.700,32.757,0.583,0.340,0.352
Migori,2017,Low Midlands,80312,1.360,219.200,22.100,7.310,7.630,32.571,0.562,0.318,0.399
Migori,2018,Low Midlands,82153,1.560,420.200,20.330,14.010,4.730,33.395,0.645,0.415,0.452
Nakuru,2012,Upper Highlands,89649,3.330,385.800,19.200,12.360,5.930,28.607,0.676,0.421,0.395
Nakuru,2013,Upper Highlands,90690,2.550,212.800,19.500,7.090,5.430,29.086,0.658,0.401,0.414
Nakuru,2014,Upper Highlands,86504,1.840,79.100,19.530,2.640,7.230,22.848,0.598,0.358,0.376
Nakuru,2015,Upper Highlands,73191,1.570,181.900,19.500,6.060,7.200,26.001,0.630,0.381,0.403
Nakuru,2016,Upper Highlands,88021,2.360,228.900,19.930,7.630,6.400,25.391,0.640,0.392,0.402
Nakuru,2017,Upper Highlands,88686,2.330,118.600,20.370,3.950,7.200,23.447,0.607,0.353,0.398
Nakuru,2018,Upper Highlands,86102,2.760,179.100,19.270,5.970,5.930,25.664,0.689,0.431,0.438
